trial_id,feature_id,signal_variant,timeframe,side,horizon_bars,valid_fold_count,positive_fold_fraction,aggregate_observations,aggregate_mean_net_return,aggregate_hac_t,p_value,bootstrap_ci_low,bootstrap_ci_high,best_fold_aggregate_mean,worst_fold_aggregate_mean,top_symbol,max_top_symbol_share_abs,fdr_q_value,catastrophic_reversal,temporal_replication
R2B0052,derivatives.premium_zscore,PRESSURE_CONTINUATION,4h,LONG,6,8,0.5,7326,-0.0011440794274885059,-1.0035772209145606,0.3156155891318374,-0.003736768529580706,0.0016645202146259414,0.0057803429545495635,-0.008549197087508462,TRBUSDT,0.02151826544447045,0.38515800707614056,False,NO_REPLICATION
R2B0053,derivatives.premium_zscore,PRESSURE_CONTINUATION,4h,SHORT,3,8,0.125,7704,-0.003373099558476242,-5.312064416001851,1.1142156838749131e-07,-0.004743363286015002,-0.002019925149439498,0.0013774832963947834,-0.006598923155195856,ATOMUSDT,0.028840279156801155,2.6741176412997914e-07,True,NO_REPLICATION
R2B0054,derivatives.premium_zscore,PRESSURE_CONTINUATION,4h,SHORT,6,8,0.25,7361,-0.0038696808305556116,-3.2213186356233523,0.0012815719827356322,-0.006640222068179778,-0.0013580638720728318,0.0038654477196930735,-0.010296472999896973,MATICUSDT,0.03173187181014137,0.002128981985622756,True,NO_REPLICATION
R2B0055,derivatives.premium_zscore,CROWDING_REVERSION,15m,LONG,4,8,0.0,129158,-0.0017288715693446358,-31.798404817429216,4.896178131854473e-221,-0.0018286328691843232,-0.0016271020278831405,-0.00140056127050859,-0.0021236124821262764,ETCUSDT,0.023374455754416826,5.875413758225368e-220,True,NO_REPLICATION
R2B0056,derivatives.premium_zscore,CROWDING_REVERSION,15m,LONG,16,8,0.0,109070,-0.0014200265752683356,-7.444588667866267,9.795846858544847e-14,-0.0018159124124931504,-0.0009967822167503719,-0.00021890833675389877,-0.0027210679022707917,LTCUSDT,0.024396496619705926,3.358576065786805e-13,True,NO_REPLICATION
R2B0057,derivatives.premium_zscore,CROWDING_REVERSION,15m,LONG,48,8,0.25,69079,-0.0010630285771295151,-2.2354764834453187,0.02538926594033059,-0.0022417346669529885,0.000287323199445059,0.0020043859794165084,-0.004934416835092281,EOSUSDT,0.02927067375085838,0.033236857230978224,True,NO_REPLICATION
R2B0058,derivatives.premium_zscore,CROWDING_REVERSION,15m,LONG,96,8,0.625,41554,-0.00026842727100935147,-0.31395809777365813,0.7535544399492117,-0.0025879423182008127,0.0023718438507885505,0.004958734374557224,-0.007601449547905613,DOGEUSDT,0.036830028347879795,0.8220593890355037,False,NO_REPLICATION
R2B0059,derivatives.premium_zscore,CROWDING_REVERSION,15m,SHORT,4,8,0.0,129465,-0.0019189806868195377,-35.867585154038544,2.352469976355482e-280,-0.002034287496094648,-0.001815801672579935,-0.0015118950734136832,-0.0020432477970284677,ETCUSDT,0.0226616452513955,3.387556765951894e-279,True,NO_REPLICATION
R2B0060,derivatives.premium_zscore,CROWDING_REVERSION,15m,SHORT,16,8,0.0,109801,-0.002085773483453332,-11.038972058959185,2.565109036122431e-28,-0.0025136931650559086,-0.001699370825574535,-0.000770722703455221,-0.003031947261182074,BNBUSDT,0.024585859378053715,1.4206757738524234e-27,True,NO_REPLICATION
R2B0061,derivatives.premium_zscore,CROWDING_REVERSION,15m,SHORT,48,8,0.125,68388,-0.002558931356447293,-5.32114010819929,1.0344263761265603e-07,-0.0038427704556727883,-0.0014167903846990476,0.0014127583073393608,-0.004935367211968428,DOGEUSDT,0.032959955455519475,2.5682310027969776e-07,True,NO_REPLICATION
R2B0062,derivatives.premium_zscore,CROWDING_REVERSION,15m,SHORT,96,8,0.25,40526,-0.0032313840552945475,-3.7234737864810246,0.00019676625911515153,-0.0057069655446144426,-0.0010055638188632414,0.00432158000995758,-0.00796345572517476,DOGEUSDT,0.040847986710003815,0.00034554074771441244,False,NO_REPLICATION
R2B0063,derivatives.premium_zscore,CROWDING_REVERSION,1h,LONG,4,8,0.0,31833,-0.0014732861061773842,-7.019347866599035,2.2736667583505705e-12,-0.0018681943641114785,-0.0010401500246168297,-0.00029256240410975164,-0.0026481165755766023,BCHUSDT,0.028331220326040654,7.441091209147322e-12,True,NO_REPLICATION
