trial_id,fold_id,cohort,cohort_universe_symbol_count,trades,aggregate_observations,mean_net_return,sharpe,hac_t
T0005,F06,top20,198,29342,11512,-0.003083396608665425,-0.31678853384406563,-22.114091165052265
T0005,F06,top50,407,72467,14665,-0.0031584820090366918,-0.2872225770657302,-23.590142952321028
T0005,F06,top100,551,72467,14665,-0.0031584820090366918,-0.2872225770657302,-23.590142952321028
T0005,F07,top20,198,29320,11728,-0.0029303036076546445,-0.27376247556051003,-20.221637179789266
T0005,F07,top50,407,73534,14655,-0.002953120215215871,-0.2799768630815156,-22.090863857459592
T0005,F07,top100,551,73534,14655,-0.002953120215215871,-0.2799768630815156,-22.090863857459592
T0005,F08,top20,198,30014,12699,-0.0028495740195833064,-0.2975291380666222,-25.62683879973293
T0005,F08,top50,407,75351,15770,-0.002869890204079045,-0.3170752656630454,-29.371196864847427
T0005,F08,top100,551,75351,15770,-0.002869890204079045,-0.3170752656630454,-29.371196864847427
T0006,F01,top20,198,11459,6790,-0.0025937699560697153,-0.13315584273840483,-5.720621804782963
T0006,F01,top50,407,28651,11432,-0.0027292635256972097,-0.12324286761229557,-6.486811989149546
T0006,F01,top100,551,28651,11432,-0.0027292635256972097,-0.12324286761229557,-6.486811989149546
T0006,F02,top20,198,11464,7290,-0.0022591713267687673,-0.10417065472845205,-5.1442917661026755
T0006,F02,top50,407,28270,11901,-0.0024115214597042276,-0.09874467637466287,-5.671378191431257
T0006,F02,top100,551,28270,11901,-0.0024115214597042276,-0.09874467637466287,-5.671378191431257
T0006,F03,top20,198,11132,6748,-0.0013701430719667688,-0.04289965860240007,-2.0110409313796254
T0006,F03,top50,407,27763,10851,-0.0012296322900843116,-0.03475942369162676,-1.8294164629993543
T0006,F03,top100,551,27763,10851,-0.0012296322900843116,-0.03475942369162676,-1.8294164629993543
T0006,F04,top20,198,10932,6829,-0.002297130622042723,-0.09297129067824564,-4.586422113929684
T0006,F04,top50,407,27345,10929,-0.0024553405945138542,-0.09026496953088373,-5.197106134701713
T0006,F04,top100,551,27345,10929,-0.0024553405945138542,-0.09026496953088373,-5.197106134701713
T0006,F05,top20,198,10332,6393,-0.0037554008848517105,-0.14540023127662846,-5.798846233338201
T0006,F05,top50,407,25917,10256,-0.004098823292350714,-0.1541507314846739,-7.0644469501975795
T0006,F05,top100,551,25917,10256,-0.004098823292350714,-0.1541507314846739,-7.0644469501975795
T0006,F06,top20,198,10839,6789,-0.003497953800624422,-0.1787941492543496,-7.566088686298366
T0006,F06,top50,407,26796,11092,-0.003419803023059349,-0.1523060041437405,-8.19072349994457
T0006,F06,top100,551,26796,11092,-0.003419803023059349,-0.1523060041437405,-8.19072349994457
T0006,F07,top20,198,10812,6849,-0.002874022387391812,-0.1346911591886682,-5.991653986352089
T0006,F07,top50,407,27062,11041,-0.0027669335245236798,-0.12886293918046804,-6.428772248680088
