trial_id,seed,blocks,preserve,samples,ci95_low,ci95_high
T0206,1729,calendar_month,all symbols together,1000,-0.0035203458791851893,0.005922124239043059
T0207,1729,calendar_month,all symbols together,1000,-0.001999284487671012,0.0033325063086763643
T0208,1729,calendar_month,all symbols together,1000,-0.002883741564271753,0.008538152224138514
T0209,1729,calendar_month,all symbols together,1000,-0.0019239600677250497,0.003532560040266129
T0210,1729,calendar_month,all symbols together,1000,-0.002130885000027534,0.009423697489644254
T0211,1729,calendar_month,all symbols together,1000,-0.004290981634352658,-0.0011217716740821915
T0212,1729,calendar_month,all symbols together,1000,-0.005431366261793884,0.0008575162923050641
T0213,1729,calendar_month,all symbols together,1000,-0.0035877447762119896,-0.00014880796001102983
T0214,1729,calendar_month,all symbols together,1000,-0.004751880650793842,0.0016565852651742466
T0215,1729,calendar_month,all symbols together,1000,-0.0027516412694418425,7.596577802749662e-05
T0216,1729,calendar_month,all symbols together,1000,-0.0029144865633050367,0.0029272414426921795
T0217,1729,calendar_month,all symbols together,1000,-0.004624478997995169,-0.0014015751849080866
T0218,1729,calendar_month,all symbols together,1000,-0.004776798508774837,0.0016876474932939305
T0219,1729,calendar_month,all symbols together,1000,-0.0040389093992180035,0.0016732637242601231
T0220,1729,calendar_month,all symbols together,1000,-0.003240012386316241,0.006835187806049753
T0221,1729,calendar_month,all symbols together,1000,-0.005580560436155635,0.0036732490235056084
T0222,1729,calendar_month,all symbols together,1000,-0.006445705788455311,0.010780580413782619
T0223,1729,calendar_month,all symbols together,1000,-0.005041846993079921,-0.00011402604012495752
T0224,1729,calendar_month,all symbols together,1000,-0.00655959537635432,0.0037326031763473843
T0225,1729,calendar_month,all symbols together,1000,-0.003920277933699243,-0.00115580268006965
T0226,1729,calendar_month,all symbols together,1000,-0.0037020416092979395,0.0019283105565365939
T0227,1729,calendar_month,all symbols together,1000,-0.00498695055756781,0.0002402714851973303
T0228,1729,calendar_month,all symbols together,1000,-0.004567034014000537,0.005297474762456633
T0229,1729,calendar_month,all symbols together,1000,-0.004314826795226863,0.0004031306276815447
T0230,1729,calendar_month,all symbols together,1000,-0.005725839052284858,0.003329530459884842
T0231,1729,calendar_month,all symbols together,1000,-0.003907131863124224,-0.0016455301862791055
T0232,1729,calendar_month,all symbols together,1000,-0.004731584276063501,0.0003115276307600566
T0233,1729,calendar_month,all symbols together,1000,-0.003650660874236447,-0.0008972837500672281
T0234,1729,calendar_month,all symbols together,1000,-0.003753706792827679,0.0010866161200261972
T0235,1729,calendar_month,all symbols together,1000,-0.0033958739121641573,-0.0006090025763305187
T0236,1729,calendar_month,all symbols together,1000,-0.004054654321816596,0.001365259155435736
T0237,1729,calendar_month,all symbols together,1000,-0.002114017706981264,0.001833227326701697
T0238,1729,calendar_month,all symbols together,1000,-0.002276736731148495,0.004644588924187193
T0239,1729,calendar_month,all symbols together,1000,-0.00340286023632373,0.001122361754549907
T0240,1729,calendar_month,all symbols together,1000,-0.004020453104808687,0.0029213246439604096
T0241,1729,calendar_month,all symbols together,1000,-0.001993829614634578,-0.0017649745665865863
T0242,1729,calendar_month,all symbols together,1000,-0.002167140200697588,-0.0013975348000353194
T0243,1729,calendar_month,all symbols together,1000,-0.0026212583944158967,-6.681818417195093e-05
T0244,1729,calendar_month,all symbols together,1000,-0.002947524764697828,0.0018740104903409432
T0245,1729,calendar_month,all symbols together,1000,-0.0020009783001756105,-0.0017139373803852598
T0246,1729,calendar_month,all symbols together,1000,-0.002070384341797373,-0.0012183364244862647
T0247,1729,calendar_month,all symbols together,1000,-0.002692521598186722,-0.00017063033484182916
T0248,1729,calendar_month,all symbols together,1000,-0.0032126986780670694,0.0017518482003298468
T0249,1729,calendar_month,all symbols together,1000,-0.0019888974467604085,-0.0017311989233234207
T0250,1729,calendar_month,all symbols together,1000,-0.0020361952607034607,-0.0011058992090272458
T0251,1729,calendar_month,all symbols together,1000,-0.0022452078763415696,0.0004347102041202454
T0252,1729,calendar_month,all symbols together,1000,-0.002640030636559238,0.002468688406790685
T0253,1729,calendar_month,all symbols together,1000,-0.001993829614634578,-0.0017649745665865863
T0254,1729,calendar_month,all symbols together,1000,-0.002167140200697588,-0.0013975348000353194
T0255,1729,calendar_month,all symbols together,1000,-0.0026212583944158967,-6.681818417195093e-05
T0256,1729,calendar_month,all symbols together,1000,-0.002947524764697828,0.0018740104903409432
T0257,1729,calendar_month,all symbols together,1000,-0.0020009783001756105,-0.0017139373803852598
T0258,1729,calendar_month,all symbols together,1000,-0.002070384341797373,-0.0012183364244862647
T0259,1729,calendar_month,all symbols together,1000,-0.002692521598186722,-0.00017063033484182916
T0260,1729,calendar_month,all symbols together,1000,-0.0032126986780670694,0.0017518482003298468
T0261,1729,calendar_month,all symbols together,1000,-0.0019888974467604085,-0.0017311989233234207
T0262,1729,calendar_month,all symbols together,1000,-0.0020361952607034607,-0.0011058992090272458
T0263,1729,calendar_month,all symbols together,1000,-0.0022452078763415696,0.0004347102041202454
T0264,1729,calendar_month,all symbols together,1000,-0.002640030636559238,0.002468688406790685
T0265,1729,calendar_month,all symbols together,1000,-0.0021073994751341397,-0.001873733801058098
T0266,1729,calendar_month,all symbols together,1000,-0.0023159027728211277,-0.0014498952296320149
T0267,1729,calendar_month,all symbols together,1000,-0.002926478139101701,-0.0005509303760288153
T0268,1729,calendar_month,all symbols together,1000,-0.0032365646735203145,0.001446102046512668
T0269,1729,calendar_month,all symbols together,1000,-0.0021534745402415215,-0.0019112541761910414
T0270,1729,calendar_month,all symbols together,1000,-0.0023741588830181177,-0.0015764533267963602
T0271,1729,calendar_month,all symbols together,1000,-0.0028852493343812964,-0.00035423803679000533
T0272,1729,calendar_month,all symbols together,1000,-0.0029702849097026592,0.0016492193174146741
T0273,1729,calendar_month,all symbols together,1000,-0.002280312250042858,-0.002077554311042307
T0274,1729,calendar_month,all symbols together,1000,-0.0026482770831566327,-0.0018972298055961276
T0275,1729,calendar_month,all symbols together,1000,-0.0030362603232843653,-0.0007961729795228659
T0276,1729,calendar_month,all symbols together,1000,-0.0034041256172017012,0.0015285297825020196
