trial_id,feature_id,variant,market,timeframe,side,cohort,horizon_bars,status
T0256,trend.ema_50_200_regime,ema_10_30,um,15m,LONG,top50,96,REGISTERED
T0257,trend.ema_50_200_regime,ema_20_50,um,15m,LONG,top50,4,REGISTERED
T0258,trend.ema_50_200_regime,ema_20_50,um,15m,LONG,top50,16,REGISTERED
T0259,trend.ema_50_200_regime,ema_20_50,um,15m,LONG,top50,48,REGISTERED
T0260,trend.ema_50_200_regime,ema_20_50,um,15m,LONG,top50,96,REGISTERED
T0261,trend.ema_50_200_regime,ema_50_200,um,15m,LONG,top50,4,REGISTERED
T0262,trend.ema_50_200_regime,ema_50_200,um,15m,LONG,top50,16,REGISTERED
T0263,trend.ema_50_200_regime,ema_50_200,um,15m,LONG,top50,48,REGISTERED
T0264,trend.ema_50_200_regime,ema_50_200,um,15m,LONG,top50,96,REGISTERED
T0265,trend.ema_slope,default,um,15m,LONG,top50,4,REGISTERED
T0266,trend.ema_slope,default,um,15m,LONG,top50,16,REGISTERED
T0267,trend.ema_slope,default,um,15m,LONG,top50,48,REGISTERED
T0268,trend.ema_slope,default,um,15m,LONG,top50,96,REGISTERED
T0269,trend.adx_dmi,adx14_threshold20,um,15m,LONG,top50,4,REGISTERED
T0270,trend.adx_dmi,adx14_threshold20,um,15m,LONG,top50,16,REGISTERED
T0271,trend.adx_dmi,adx14_threshold20,um,15m,LONG,top50,48,REGISTERED
T0272,trend.adx_dmi,adx14_threshold20,um,15m,LONG,top50,96,REGISTERED
T0273,trend.kaufman_er,er10_threshold0.3,um,15m,LONG,top50,4,REGISTERED
T0274,trend.kaufman_er,er10_threshold0.3,um,15m,LONG,top50,16,REGISTERED
T0275,trend.kaufman_er,er10_threshold0.3,um,15m,LONG,top50,48,REGISTERED
T0276,trend.kaufman_er,er10_threshold0.3,um,15m,LONG,top50,96,REGISTERED
T0277,trend.donchian,donchian_20,um,15m,LONG,top50,4,REGISTERED
T0278,trend.donchian,donchian_20,um,15m,LONG,top50,16,REGISTERED
T0279,trend.donchian,donchian_20,um,15m,LONG,top50,48,REGISTERED
T0280,trend.donchian,donchian_20,um,15m,LONG,top50,96,REGISTERED
T0281,trend.donchian,donchian_48,um,15m,LONG,top50,4,REGISTERED
T0282,trend.donchian,donchian_48,um,15m,LONG,top50,16,REGISTERED
T0283,trend.donchian,donchian_48,um,15m,LONG,top50,48,REGISTERED
T0284,trend.donchian,donchian_48,um,15m,LONG,top50,96,REGISTERED
T0285,trend.donchian,donchian_55,um,15m,LONG,top50,4,REGISTERED
T0286,trend.donchian,donchian_55,um,15m,LONG,top50,16,REGISTERED
T0287,trend.donchian,donchian_55,um,15m,LONG,top50,48,REGISTERED
T0288,trend.donchian,donchian_55,um,15m,LONG,top50,96,REGISTERED
T0289,momentum.roc,roc_6,um,15m,LONG,top50,4,REGISTERED
T0290,momentum.roc,roc_6,um,15m,LONG,top50,16,REGISTERED
T0291,momentum.roc,roc_6,um,15m,LONG,top50,48,REGISTERED
T0292,momentum.roc,roc_6,um,15m,LONG,top50,96,REGISTERED
T0293,momentum.roc,roc_12,um,15m,LONG,top50,4,REGISTERED
T0294,momentum.roc,roc_12,um,15m,LONG,top50,16,REGISTERED
T0295,momentum.roc,roc_12,um,15m,LONG,top50,48,REGISTERED
T0296,momentum.roc,roc_12,um,15m,LONG,top50,96,REGISTERED
T0297,momentum.roc,roc_24,um,15m,LONG,top50,4,REGISTERED
T0298,momentum.roc,roc_24,um,15m,LONG,top50,16,REGISTERED
T0299,momentum.roc,roc_24,um,15m,LONG,top50,48,REGISTERED
T0300,momentum.roc,roc_24,um,15m,LONG,top50,96,REGISTERED
T0301,momentum.rsi,rsi_7_30_70,um,15m,LONG,top50,4,REGISTERED
T0302,momentum.rsi,rsi_7_30_70,um,15m,LONG,top50,16,REGISTERED
T0303,momentum.rsi,rsi_7_30_70,um,15m,LONG,top50,48,REGISTERED
T0304,momentum.rsi,rsi_7_30_70,um,15m,LONG,top50,96,REGISTERED
