trial_id,feature_id,variant,market,timeframe,side,horizon_bars,valid_fold_count,positive_fold_fraction,aggregate_hac_t,fdr_q_value,max_top_symbol_share_abs,catastrophic_reversal,temporal_replication
T0600,context.btc_regime,regime_follow,um,15m,SHORT,16,8,0.125,-6.440467624901595,4.5633393710294956e-10,0.023065749680784717,True,NO_REPLICATION
T0601,context.btc_regime,regime_follow,um,15m,SHORT,48,8,0.125,-3.5898813898927364,0.0006954461227297767,0.02995913700011781,True,NO_REPLICATION
T0602,context.btc_regime,regime_follow,um,15m,SHORT,96,8,0.25,-2.848304815258345,0.007770317108889786,0.028067576342710586,True,NO_REPLICATION
T0603,context.market_breadth,breadth_0.4_0.6,um,15m,SHORT,4,8,0.0,-20.997563587389923,3.3286066417160265e-95,0.022245535323255333,True,NO_REPLICATION
T0604,context.market_breadth,breadth_0.4_0.6,um,15m,SHORT,16,8,0.0,-8.588755450176137,4.5292731843534304e-17,0.02414317683292194,True,NO_REPLICATION
T0605,context.market_breadth,breadth_0.4_0.6,um,15m,SHORT,48,8,0.125,-5.507578984760353,1.1701209882529522e-07,0.024713924390911864,True,NO_REPLICATION
T0606,context.market_breadth,breadth_0.4_0.6,um,15m,SHORT,96,8,0.125,-2.349987133040354,0.028898553688796527,0.032666731182149564,False,NO_REPLICATION
T0607,derivatives.funding,funding_sign,um,15m,SHORT,4,8,0.0,-38.3126102632593,0.0,0.025243530869491347,True,NO_REPLICATION
T0608,derivatives.funding,funding_sign,um,15m,SHORT,16,8,0.0,-11.334123629392746,5.580581584159497e-29,0.027434221007013926,True,NO_REPLICATION
T0609,derivatives.funding,funding_sign,um,15m,SHORT,48,8,0.25,-4.966362241355485,1.8421372605031767e-06,0.03498972908105133,True,NO_REPLICATION
T0610,derivatives.funding,funding_sign,um,15m,SHORT,96,8,0.25,-3.2193118241948517,0.002419670161195069,0.03701288538511383,False,NO_REPLICATION
T0611,derivatives.funding_zscore,z90_extreme,um,15m,SHORT,4,7,0.14285714285714285,-8.911724899046666,2.8597673969482974e-18,0.05823408247639251,True,NO_REPLICATION
T0612,derivatives.funding_zscore,z90_extreme,um,15m,SHORT,16,6,0.16666666666666666,-2.3953741624282867,0.025722311432731078,0.05388397330206771,False,NO_REPLICATION
T0613,derivatives.funding_zscore,z90_extreme,um,15m,SHORT,48,6,0.5,-1.009054785759355,0.37708674618836496,0.04307138987223496,False,NO_REPLICATION
T0614,derivatives.funding_zscore,z90_extreme,um,15m,SHORT,96,6,0.5,0.17387581156121826,0.8861744980000996,0.04625427371817699,False,NO_REPLICATION
T0615,trend.ema_20_50_spread,ema_10_30,um,1h,SHORT,4,8,0.0,-9.179784262462583,2.02959462109167e-19,0.025223256131426695,True,NO_REPLICATION
T0616,trend.ema_20_50_spread,ema_10_30,um,1h,SHORT,12,8,0.125,-4.017009508352353,0.0001326667996928875,0.025158317205028997,True,NO_REPLICATION
T0617,trend.ema_20_50_spread,ema_10_30,um,1h,SHORT,24,8,0.125,-2.9359466800870786,0.005895387324100276,0.028394431331393133,False,NO_REPLICATION
T0618,trend.ema_20_50_spread,ema_20_50,um,1h,SHORT,4,8,0.0,-9.282798519995922,7.916998970187264e-20,0.02134112438024624,True,NO_REPLICATION
